notation,mode,mean_conf,n_tasks,source
SOFL/FSF,B1,89.2,120,main_run
SOFL/FSF,B2,87.7,120,main_run
SOFL/FSF,M,86.3,120,main_run
Mini-StateMachine,B1,24.7,30,llm_generalisation
Mini-StateMachine,B2,40.8,30,llm_generalisation
Mini-StateMachine,M,41.6,30,llm_generalisation
Mini-Z,B1,5.8,30,llm_generalisation
Mini-Z,B2,18.3,30,llm_generalisation
Mini-Z,M,23.3,30,llm_generalisation
HumanEval-FSF,B1,94.7,20,e8c_run
HumanEval-FSF,B2,98.8,20,e8c_run
HumanEval-FSF,M,90.4,20,e8c_run
MBPP-FSF,B1,95.0,20,e8c_run
MBPP-FSF,B2,95.0,20,e8c_run
MBPP-FSF,M,95.0,20,e8c_run
