mode,eval_type,detection_rate,false_accept_rate,strict_conformance,n
B1,spec_confusion,0.8591549295774648,0.13145539906103287,0.8458218446481357,852
B1,impl_screening,0.0,1.0,0.0,852
B2,spec_confusion,0.8568075117370892,0.142018779342723,0.9052245572198624,852
B2,impl_screening,0.9119718309859155,0.0880281690140845,0.10543818466353677,852
M,spec_confusion,0.8568075117370892,0.142018779342723,0.900703604342102,852
M,impl_screening,0.9495305164319249,0.05046948356807512,0.10446009389671361,852
A1,spec_confusion,0.857981220657277,0.14084507042253522,0.8900098119581688,852
A1,impl_screening,0.9495305164319249,0.05046948356807512,0.10504694835680752,852
A2,spec_confusion,0.8509389671361502,0.14906103286384975,0.9103292595076633,852
A2,impl_screening,0.9119718309859155,0.0880281690140845,0.10387323943661972,852
A3,spec_confusion,0.8615023474178404,0.13732394366197184,0.8238877710708696,852
A3,impl_screening,0.9495305164319249,0.05046948356807512,0.10485133020344288,852
